Vardas              Pavarde             ND1                 ND2                 ND3                 ND4                 ND5                 Egz.                
Vardas9052          Pavarde9052         8                   2                   7                   3                   8                   8                   
Vardas9053          Pavarde9053         10                  10                  9                   3                   7                   5                   
Vardas9054          Pavarde9054         8                   8                   4                   8                   3                   5                   
Vardas9055          Pavarde9055         4                   4                   4                   8                   10                  5                   
Vardas9056          Pavarde9056         4                   7                   1                   1                   10                  1                   
Vardas9057          Pavarde9057         9                   6                   8                   10                  5                   2                   
Vardas9058          Pavarde9058         3                   8                   3                   9                   6                   6                   
Vardas9059          Pavarde9059         7                   4                   7                   2                   10                  1                   
Vardas9060          Pavarde9060         5                   9                   1                   8                   8                   9                   
Vardas9061          Pavarde9061         2                   6                   6                   3                   4                   2                   
Vardas9062          Pavarde9062         5                   7                   4                   10                  10                  6                   
Vardas9063          Pavarde9063         8                   2                   1                   8                   2                   4                   
Vardas9064          Pavarde9064         3                   1                   9                   2                   2                   10                  
Vardas9065          Pavarde9065         10                  5                   1                   8                   7                   8                   
Vardas9066          Pavarde9066         3                   10                  10                  1                   6                   7                   
Vardas9067          Pavarde9067         4                   4                   8                   5                   1                   6                   
Vardas9068          Pavarde9068         6                   3                   9                   4                   1                   10                  
Vardas9069          Pavarde9069         5                   5                   3                   10                  10                  3                   
Vardas9070          Pavarde9070         3                   8                   7                   7                   4                   10                  
Vardas9071          Pavarde9071         7                   8                   3                   2                   7                   10                  
Vardas9072          Pavarde9072         2                   8                   3                   8                   7                   3                   
Vardas9073          Pavarde9073         10                  10                  7                   9                   10                  1                   
Vardas9074          Pavarde9074         4                   3                   4                   9                   9                   2                   
Vardas9075          Pavarde9075         5                   3                   5                   10                  9                   4                   
Vardas9076          Pavarde9076         8                   10                  4                   2                   2                   1                   
Vardas9077          Pavarde9077         9                   10                  6                   3                   1                   1                   
Vardas9078          Pavarde9078         4                   10                  10                  3                   4                   2                   
Vardas9079          Pavarde9079         8                   9                   8                   8                   8                   7                   
Vardas9080          Pavarde9080         5                   5                   5                   1                   4                   7                   
Vardas9081          Pavarde9081         3                   8                   1                   7                   3                   4                   
Vardas9082          Pavarde9082         3                   3                   7                   6                   4                   1                   
Vardas9083          Pavarde9083         5                   10                  3                   2                   8                   6                   
Vardas9084          Pavarde9084         10                  2                   7                   7                   6                   9                   
Vardas9085          Pavarde9085         6                   3                   9                   10                  3                   10                  
Vardas9086          Pavarde9086         4                   10                  4                   10                  8                   3                   
Vardas9087          Pavarde9087         1                   3                   2                   1                   6                   9                   
Vardas9088          Pavarde9088         1                   4                   9                   6                   10                  3                   
Vardas9089          Pavarde9089         8                   1                   4                   8                   3                   7                   
Vardas9090          Pavarde9090         10                  6                   2                   4                   6                   3                   
Vardas9091          Pavarde9091         8                   5                   5                   2                   10                  8                   
Vardas9092          Pavarde9092         1                   10                  3                   6                   3                   8                   
Vardas9093          Pavarde9093         5                   1                   7                   2                   8                   3                   
Vardas9094          Pavarde9094         7                   6                   7                   1                   6                   10                  
Vardas9095          Pavarde9095         5                   2                   6                   1                   2                   7                   
Vardas9096          Pavarde9096         6                   2                   1                   3                   4                   8                   
Vardas9097          Pavarde9097         1                   1                   7                   4                   7                   4                   
Vardas9098          Pavarde9098         4                   6                   7                   1                   8                   1                   
Vardas9099          Pavarde9099         8                   5                   8                   2                   7                   1                   
Vardas9100          Pavarde9100         9                   10                  8                   1                   6                   7                   
Vardas9101          Pavarde9101         3                   8                   8                   2                   3                   4                   
Vardas9102          Pavarde9102         5                   7                   6                   8                   2                   4                   
Vardas9103          Pavarde9103         2                   1                   1                   7                   9                   4                   
Vardas9104          Pavarde9104         3                   6                   7                   7                   8                   3                   
Vardas9105          Pavarde9105         6                   7                   5                   4                   2                   4                   
Vardas9106          Pavarde9106         10                  5                   1                   7                   8                   7                   
Vardas9107          Pavarde9107         9                   2                   1                   6                   5                   8                   
Vardas9108          Pavarde9108         7                   5                   5                   9                   10                  7                   
Vardas9109          Pavarde9109         2                   4                   8                   6                   10                  6                   
Vardas9110          Pavarde9110         9                   1                   9                   3                   10                  10                  
Vardas9111          Pavarde9111         5                   2                   6                   4                   5                   9                   
Vardas9112          Pavarde9112         7                   6                   1                   2                   4                   6                   
Vardas9113          Pavarde9113         9                   3                   2                   10                  3                   9                   
Vardas9114          Pavarde9114         1                   4                   2                   4                   3                   1                   
Vardas9115          Pavarde9115         10                  8                   4                   10                  5                   2                   
Vardas9116          Pavarde9116         6                   3                   8                   2                   6                   9                   
Vardas9117          Pavarde9117         10                  9                   1                   1                   8                   3                   
Vardas9118          Pavarde9118         3                   2                   1                   7                   9                   2                   
Vardas9119          Pavarde9119         3                   4                   8                   4                   8                   10                  
Vardas9120          Pavarde9120         8                   5                   3                   2                   10                  8                   
Vardas9121          Pavarde9121         8                   9                   7                   6                   9                   2                   
Vardas9122          Pavarde9122         10                  1                   5                   4                   8                   8                   
Vardas9123          Pavarde9123         1                   7                   1                   6                   9                   4                   
Vardas9124          Pavarde9124         8                   6                   10                  5                   5                   3                   
Vardas9125          Pavarde9125         2                   5                   9                   8                   5                   9                   
Vardas9126          Pavarde9126         7                   10                  1                   7                   7                   2                   
Vardas9127          Pavarde9127         3                   2                   5                   9                   3                   7                   
Vardas9128          Pavarde9128         6                   6                   1                   1                   3                   8                   
Vardas9129          Pavarde9129         3                   4                   1                   9                   7                   6                   
Vardas9130          Pavarde9130         1                   3                   6                   9                   6                   1                   
Vardas9131          Pavarde9131         5                   9                   7                   7                   8                   3                   
Vardas9132          Pavarde9132         10                  3                   8                   10                  1                   10                  
Vardas9133          Pavarde9133         2                   10                  6                   9                   5                   8                   
Vardas9134          Pavarde9134         2                   5                   9                   1                   9                   2                   
Vardas9135          Pavarde9135         10                  7                   2                   8                   5                   1                   
Vardas9136          Pavarde9136         7                   10                  9                   3                   7                   7                   
Vardas9137          Pavarde9137         3                   5                   8                   1                   10                  8                   
Vardas9138          Pavarde9138         9                   9                   1                   1                   6                   1                   
Vardas9139          Pavarde9139         10                  2                   8                   9                   7                   6                   
Vardas9140          Pavarde9140         4                   10                  8                   10                  2                   4                   
Vardas9141          Pavarde9141         10                  4                   1                   3                   8                   6                   
Vardas9142          Pavarde9142         9                   10                  7                   1                   6                   7                   
Vardas9143          Pavarde9143         1                   10                  6                   8                   6                   1                   
Vardas9144          Pavarde9144         3                   5                   3                   2                   10                  4                   
Vardas9145          Pavarde9145         10                  10                  3                   1                   3                   3                   
Vardas9146          Pavarde9146         9                   8                   6                   4                   6                   7                   
Vardas9147          Pavarde9147         9                   2                   10                  9                   10                  10                  
Vardas9148          Pavarde9148         6                   7                   5                   6                   5                   5                   
Vardas9149          Pavarde9149         7                   1                   2                   2                   2                   6                   
Vardas9150          Pavarde9150         6                   3                   8                   2                   10                  1                   
Vardas9151          Pavarde9151         7                   10                  9                   9                   10                  4                   
Vardas9152          Pavarde9152         10                  3                   3                   4                   10                  2                   
Vardas9153          Pavarde9153         2                   7                   1                   5                   7                   4                   
Vardas9154          Pavarde9154         1                   6                   7                   7                   5                   4                   
Vardas9155          Pavarde9155         8                   3                   9                   1                   10                  2                   
Vardas9156          Pavarde9156         6                   3                   7                   5                   3                   1                   
Vardas9157          Pavarde9157         8                   9                   9                   7                   1                   2                   
Vardas9158          Pavarde9158         2                   3                   1                   8                   4                   10                  
Vardas9159          Pavarde9159         2                   8                   2                   6                   1                   6                   
Vardas9160          Pavarde9160         6                   1                   8                   4                   1                   4                   
Vardas9161          Pavarde9161         10                  2                   5                   5                   2                   10                  
Vardas9162          Pavarde9162         10                  4                   4                   8                   3                   7                   
Vardas9163          Pavarde9163         5                   3                   2                   3                   6                   2                   
Vardas9164          Pavarde9164         2                   10                  10                  1                   9                   8                   
Vardas9165          Pavarde9165         4                   1                   9                   5                   9                   1                   
Vardas9166          Pavarde9166         9                   7                   4                   9                   7                   3                   
Vardas9167          Pavarde9167         1                   1                   8                   7                   2                   7                   
Vardas9168          Pavarde9168         10                  4                   6                   4                   8                   9                   
Vardas9169          Pavarde9169         5                   10                  6                   8                   10                  8                   
Vardas9170          Pavarde9170         3                   4                   7                   6                   8                   6                   
Vardas9171          Pavarde9171         2                   5                   9                   3                   9                   10                  
Vardas9172          Pavarde9172         7                   6                   1                   9                   6                   6                   
Vardas9173          Pavarde9173         1                   8                   6                   10                  8                   7                   
Vardas9174          Pavarde9174         10                  10                  1                   6                   2                   10                  
Vardas9175          Pavarde9175         10                  4                   6                   8                   4                   6                   
Vardas9176          Pavarde9176         6                   9                   8                   3                   10                  1                   
Vardas9177          Pavarde9177         8                   6                   1                   10                  6                   9                   
Vardas9178          Pavarde9178         2                   9                   8                   10                  9                   1                   
Vardas9179          Pavarde9179         6                   3                   10                  7                   10                  1                   
Vardas9180          Pavarde9180         7                   8                   10                  9                   3                   8                   
Vardas9181          Pavarde9181         5                   10                  4                   3                   6                   7                   
Vardas9182          Pavarde9182         10                  1                   1                   10                  6                   1                   
Vardas9183          Pavarde9183         10                  10                  6                   1                   8                   4                   
Vardas9184          Pavarde9184         2                   9                   10                  2                   3                   9                   
Vardas9185          Pavarde9185         7                   2                   10                  9                   3                   6                   
Vardas9186          Pavarde9186         10                  1                   1                   2                   2                   6                   
Vardas9187          Pavarde9187         7                   5                   10                  8                   4                   10                  
Vardas9188          Pavarde9188         10                  8                   9                   2                   4                   2                   
Vardas9189          Pavarde9189         6                   4                   1                   1                   1                   1                   
Vardas9190          Pavarde9190         7                   3                   5                   3                   9                   9                   
Vardas9191          Pavarde9191         2                   9                   3                   4                   10                  7                   
Vardas9192          Pavarde9192         5                   6                   4                   3                   4                   10                  
Vardas9193          Pavarde9193         8                   6                   10                  2                   4                   7                   
Vardas9194          Pavarde9194         6                   8                   6                   7                   1                   4                   
Vardas9195          Pavarde9195         2                   5                   5                   2                   5                   10                  
Vardas9196          Pavarde9196         5                   4                   3                   7                   5                   6                   
Vardas9197          Pavarde9197         1                   1                   1                   1                   5                   3                   
Vardas9198          Pavarde9198         7                   1                   9                   9                   8                   7                   
Vardas9199          Pavarde9199         9                   8                   8                   10                  8                   10                  
Vardas9200          Pavarde9200         1                   4                   8                   5                   10                  7                   
Vardas9201          Pavarde9201         10                  2                   4                   9                   7                   7                   
Vardas9202          Pavarde9202         10                  4                   1                   7                   2                   8                   
Vardas9203          Pavarde9203         3                   9                   3                   4                   10                  6                   
Vardas9204          Pavarde9204         4                   5                   4                   8                   10                  4                   
Vardas9205          Pavarde9205         7                   7                   1                   7                   2                   1                   
Vardas9206          Pavarde9206         6                   4                   8                   10                  8                   1                   
Vardas9207          Pavarde9207         8                   7                   5                   1                   5                   6                   
Vardas9208          Pavarde9208         8                   1                   3                   9                   10                  9                   
Vardas9209          Pavarde9209         8                   1                   7                   2                   9                   4                   
Vardas9210          Pavarde9210         1                   9                   3                   3                   3                   9                   
Vardas9211          Pavarde9211         6                   3                   7                   1                   10                  1                   
Vardas9212          Pavarde9212         1                   6                   2                   10                  2                   2                   
Vardas9213          Pavarde9213         10                  8                   5                   6                   2                   9                   
Vardas9214          Pavarde9214         8                   10                  6                   1                   4                   2                   
Vardas9215          Pavarde9215         1                   6                   5                   7                   7                   7                   
Vardas9216          Pavarde9216         4                   7                   1                   6                   4                   4                   
Vardas9217          Pavarde9217         4                   7                   10                  4                   6                   8                   
Vardas9218          Pavarde9218         8                   6                   10                  8                   7                   9                   
Vardas9219          Pavarde9219         3                   3                   7                   10                  7                   4                   
Vardas9220          Pavarde9220         9                   10                  2                   8                   3                   4                   
Vardas9221          Pavarde9221         4                   5                   5                   9                   8                   3                   
Vardas9222          Pavarde9222         2                   4                   9                   3                   3                   9                   
Vardas9223          Pavarde9223         1                   10                  5                   4                   10                  10                  
Vardas9224          Pavarde9224         1                   8                   8                   9                   10                  5                   
Vardas9225          Pavarde9225         4                   9                   3                   1                   5                   8                   
Vardas9226          Pavarde9226         2                   1                   7                   4                   10                  3                   
Vardas9227          Pavarde9227         6                   5                   1                   1                   9                   10                  
Vardas9228          Pavarde9228         3                   1                   8                   5                   9                   8                   
Vardas9229          Pavarde9229         10                  9                   5                   8                   6                   9                   
Vardas9230          Pavarde9230         9                   5                   10                  5                   6                   1                   
Vardas9231          Pavarde9231         10                  10                  6                   10                  9                   9                   
Vardas9232          Pavarde9232         2                   6                   6                   4                   8                   9                   
Vardas9233          Pavarde9233         3                   2                   1                   7                   2                   5                   
Vardas9234          Pavarde9234         2                   6                   4                   2                   8                   2                   
Vardas9235          Pavarde9235         1                   9                   9                   5                   1                   2                   
Vardas9236          Pavarde9236         7                   4                   10                  8                   5                   9                   
Vardas9237          Pavarde9237         9                   10                  7                   7                   1                   5                   
Vardas9238          Pavarde9238         3                   9                   2                   10                  9                   6                   
Vardas9239          Pavarde9239         5                   5                   10                  8                   9                   1                   
Vardas9240          Pavarde9240         3                   9                   10                  10                  10                  1                   
Vardas9241          Pavarde9241         8                   9                   10                  7                   4                   6                   
Vardas9242          Pavarde9242         10                  9                   10                  7                   1                   6                   
Vardas9243          Pavarde9243         2                   5                   2                   2                   1                   4                   
Vardas9244          Pavarde9244         9                   4                   7                   4                   6                   5                   
Vardas9245          Pavarde9245         10                  5                   10                  3                   7                   9                   
Vardas9246          Pavarde9246         7                   6                   10                  1                   4                   6                   
Vardas9247          Pavarde9247         7                   2                   10                  2                   2                   7                   
Vardas9248          Pavarde9248         4                   7                   2                   4                   1                   10                  
Vardas9249          Pavarde9249         3                   7                   9                   5                   1                   2                   
Vardas9250          Pavarde9250         1                   10                  10                  5                   9                   2                   
Vardas9251          Pavarde9251         3                   5                   4                   8                   2                   7                   
Vardas9252          Pavarde9252         8                   1                   10                  2                   9                   10                  
Vardas9253          Pavarde9253         8                   5                   6                   6                   8                   2                   
Vardas9254          Pavarde9254         8                   7                   10                  8                   3                   5                   
Vardas9255          Pavarde9255         7                   5                   5                   5                   2                   7                   
Vardas9256          Pavarde9256         9                   9                   9                   10                  7                   9                   
Vardas9257          Pavarde9257         3                   3                   6                   3                   8                   5                   
Vardas9258          Pavarde9258         2                   2                   1                   4                   7                   6                   
Vardas9259          Pavarde9259         2                   2                   3                   8                   3                   5                   
Vardas9260          Pavarde9260         3                   3                   10                  6                   5                   8                   
Vardas9261          Pavarde9261         2                   4                   3                   8                   8                   8                   
Vardas9262          Pavarde9262         5                   6                   8                   5                   9                   2                   
Vardas9263          Pavarde9263         8                   10                  3                   3                   4                   3                   
Vardas9264          Pavarde9264         4                   2                   9                   7                   10                  5                   
Vardas9265          Pavarde9265         3                   10                  7                   10                  1                   9                   
Vardas9266          Pavarde9266         9                   7                   2                   7                   7                   1                   
Vardas9267          Pavarde9267         7                   10                  8                   5                   2                   10                  
Vardas9268          Pavarde9268         7                   7                   4                   2                   4                   3                   
Vardas9269          Pavarde9269         6                   2                   9                   3                   8                   10                  
Vardas9270          Pavarde9270         9                   6                   7                   2                   6                   8                   
Vardas9271          Pavarde9271         3                   2                   1                   7                   3                   8                   
Vardas9272          Pavarde9272         4                   9                   10                  1                   5                   2                   
Vardas9273          Pavarde9273         6                   9                   7                   6                   7                   5                   
Vardas9274          Pavarde9274         7                   6                   6                   5                   9                   8                   
Vardas9275          Pavarde9275         2                   5                   4                   3                   4                   5                   
Vardas9276          Pavarde9276         4                   5                   7                   3                   7                   7                   
Vardas9277          Pavarde9277         5                   6                   6                   8                   2                   9                   
Vardas9278          Pavarde9278         2                   4                   5                   10                  5                   3                   
Vardas9279          Pavarde9279         6                   9                   8                   6                   5                   9                   
Vardas9280          Pavarde9280         5                   7                   10                  2                   4                   7                   
Vardas9281          Pavarde9281         3                   3                   7                   5                   5                   7                   
Vardas9282          Pavarde9282         9                   8                   3                   1                   5                   7                   
Vardas9283          Pavarde9283         9                   7                   2                   8                   9                   10                  
Vardas9284          Pavarde9284         4                   1                   8                   5                   9                   3                   
Vardas9285          Pavarde9285         9                   5                   1                   4                   3                   7                   
Vardas9286          Pavarde9286         5                   3                   7                   6                   7                   3                   
Vardas9287          Pavarde9287         2                   6                   5                   3                   8                   10                  
Vardas9288          Pavarde9288         7                   6                   8                   6                   9                   10                  
Vardas9289          Pavarde9289         1                   6                   5                   8                   6                   8                   
Vardas9290          Pavarde9290         3                   3                   5                   1                   3                   7                   
Vardas9291          Pavarde9291         8                   4                   7                   3                   3                   5                   
Vardas9292          Pavarde9292         6                   9                   6                   5                   8                   7                   
Vardas9293          Pavarde9293         1                   4                   10                  3                   7                   6                   
Vardas9294          Pavarde9294         3                   10                  10                  2                   3                   2                   
Vardas9295          Pavarde9295         9                   9                   2                   10                  9                   6                   
Vardas9296          Pavarde9296         1                   2                   5                   9                   10                  7                   
Vardas9297          Pavarde9297         4                   7                   2                   7                   8                   9                   
Vardas9298          Pavarde9298         2                   3                   5                   1                   2                   7                   
Vardas9299          Pavarde9299         7                   4                   2                   4                   3                   5                   
Vardas9300          Pavarde9300         1                   2                   6                   10                  9                   6                   
Vardas9301          Pavarde9301         7                   5                   1                   8                   5                   2                   
Vardas9302          Pavarde9302         4                   9                   8                   2                   7                   4                   
Vardas9303          Pavarde9303         2                   7                   2                   4                   8                   8                   
Vardas9304          Pavarde9304         3                   8                   5                   3                   6                   10                  
Vardas9305          Pavarde9305         1                   4                   7                   2                   6                   3                   
Vardas9306          Pavarde9306         9                   9                   10                  10                  8                   8                   
Vardas9307          Pavarde9307         6                   1                   8                   2                   2                   8                   
Vardas9308          Pavarde9308         9                   9                   1                   1                   5                   7                   
Vardas9309          Pavarde9309         7                   9                   6                   8                   9                   7                   
Vardas9310          Pavarde9310         10                  7                   9                   7                   10                  4                   
Vardas9311          Pavarde9311         6                   8                   2                   1                   5                   1                   
Vardas9312          Pavarde9312         10                  3                   3                   2                   3                   3                   
Vardas9313          Pavarde9313         1                   5                   1                   10                  4                   3                   
Vardas9314          Pavarde9314         9                   6                   2                   5                   1                   4                   
Vardas9315          Pavarde9315         2                   7                   4                   4                   4                   3                   
Vardas9316          Pavarde9316         8                   7                   2                   5                   10                  9                   
Vardas9317          Pavarde9317         1                   9                   4                   1                   2                   2                   
Vardas9318          Pavarde9318         9                   2                   2                   7                   9                   3                   
Vardas9319          Pavarde9319         1                   7                   4                   7                   9                   9                   
Vardas9320          Pavarde9320         5                   8                   6                   10                  5                   1                   
Vardas9321          Pavarde9321         2                   4                   4                   7                   1                   4                   
Vardas9322          Pavarde9322         5                   6                   9                   2                   4                   10                  
Vardas9323          Pavarde9323         10                  10                  3                   5                   10                  4                   
Vardas9324          Pavarde9324         9                   8                   5                   7                   1                   4                   
Vardas9325          Pavarde9325         1                   7                   5                   2                   10                  2                   
Vardas9326          Pavarde9326         9                   6                   4                   5                   10                  5                   
Vardas9327          Pavarde9327         6                   2                   5                   10                  5                   10                  
Vardas9328          Pavarde9328         1                   5                   4                   7                   5                   6                   
Vardas9329          Pavarde9329         8                   8                   9                   5                   6                   1                   
